,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
33,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9979088775677762,0.0004624832684529928,0.0005934099615798345,4.1326985523080485e-05,0.0003492596318271376,5.35754268531893e-05,0.0005860995054363105,4.967652551178349e-06,0.00014813457354466138,0.9857470837350386
34,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.997803906505528,0.00045017834356396214,0.0006275246838806092,4.061225236532459e-05,0.000373662328232499,5.782052521044794e-05,0.000640771145946073,5.524215273075458e-06,0.00016560333445834335,0.9857470837350386
35,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9977012460939395,0.00043862781976656694,0.0006582800912394328,3.979693566097869e-05,0.00039810008770581784,6.230808188487747e-05,0.0006955164549695692,6.1244348331672964e-06,0.0001841129551553109,0.9857470837350386
36,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.9976007679354667,0.0004277737783844621,0.0006859443164977191,3.893431157190059e-05,0.0004224375588582027,6.703054936025557e-05,0.0007503408502393949,6.770699621424856e-06,0.00020361208505169666,0.9857470837350386
37,0.21,0.005,0.11,0.005,0.143,0.371,0.034,0.034,0.008,0.015,0.01,0.08,0.017,0.017,0.017,0.017,0.997502349538733,0.00041756622054816287,0.0007107646599149123,3.8058701641636895e-05,0.0004465680485605601,7.197914047297205e-05,0.0008052483739721117,7.465316156706737e-06,0.00022405156666775456,0.9857470837350386
38,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9974058745585452,0.00040796106322364364,0.0007329695811933032,3.7191872010695054e-05,0.00047040627649524595,7.714410619807997e-05,0.000860242044214421,8.21049811945315e-06,0.0002453845025772359,0.8469123628743992
39,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9973133400088654,0.00038030577605291973,0.0007777726589350122,3.3053240718916734e-05,0.00048557931639779455,8.299388281161431e-05,0.0009179442852372821,9.010830981020294e-06,0.0002708602744631977,0.8469123628743992
40,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9972264826576732,0.00035504251220129014,0.00081543046679658,2.9733836698839365e-05,0.0004998899466899748,8.891723358967003e-05,0.0009746333140103758,9.870032340130565e-06,0.0002975135687834203,0.8469123628743992
41,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9971447793526856,0.00033199186416250356,0.0008467079342975933,2.7011127337426857e-05,0.000513457529529569,9.49064149586034e-05,0.0010303569775568233,1.0788799471781214e-05,0.00032519391350643704,0.8469123628743992
42,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9970677610985068,0.00031097506774777815,0.0008723011794636771,2.4732205025127338e-05,0.0005263476069019981,0.0001009537098393093,0.0010851613799603976,1.1767752554990563e-05,0.0003537671826145523,0.8469123628743992
