,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
55,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9969647078567097,0.00012864484270384298,0.0007438414579780125,9.060844281544705e-06,0.0005276836400751429,0.00015208052129807054,0.0014483746898399374,2.560614711381162e-05,0.0006459218486910069,0.8469123628743992
56,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9969309959044308,0.00012387823570021828,0.0007357746722054819,8.679179264511617e-06,0.0005309404282962086,0.00015700175941205604,0.0014855781377093313,2.7151682981439414e-05,0.0006728553343717682,0.8469123628743992
57,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9968983088885972,0.00011948119852930498,0.0007271697435574579,8.328887522244593e-06,0.0005337467281805004,0.0001618676005940491,0.0015223507849203566,2.8746168098911566e-05,0.0006997310936414012,0.8469123628743992
58,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9968665745746433,0.00011541884863954266,0.0007181189212618812,8.006885308485896e-06,0.0005361168669880748,0.00016667279196061125,0.0015587020896933312,3.038902150490708e-05,0.0007265298937483473,0.8469123628743992
59,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.996835727487476,0.00011165964683069635,0.0007087039289029826,7.71041970043172e-06,0.0005380657485008902,0.00017141237936064196,0.0015946407780426108,3.207961118575358e-05,0.0007532344777482683,0.8469123628743992
60,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9968057082581342,0.00010817508140329281,0.0006989970479076331,7.437025700756644e-06,0.0005396087005472791,0.00017608171124391234,0.0016301749179735703,3.381725708934952e-05,0.0007798293783529358,0.8469123628743992
61,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9967764630334754,0.00010493938105803866,0.0006890620946122066,7.184491093914571e-06,0.0005407613390573985,0.00018067644000968326,0.0016653119865290833,3.560123416423333e-05,0.0008063007494703012,0.8469123628743992
62,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9967479429427779,0.00010192925423865912,0.0006789553009808101,6.950827126501735e-06,0.0005415394479849015,0.00018519252117998365,0.0017000589303107771,3.743077540040226e-05,0.0008326362137163442,0.8469123628743992
63,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9967201036157605,9.912365269516935e-05,0.0006687261081567881,6.7342436524384965e-06,0.0005419588741174474,0.00018962621070968497,0.0017344222200562642,3.9305074851768024e-05,0.00085882472435715,0.8469123628743992
64,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966929047470673,9.650355716359982e-05,0.0006584178812008621,6.533127774622924e-06,0.0005420354356419362,0.00019397406071419132,0.0017684078998143615,4.122329062309881e-05,0.000884856440295734,0.8469123628743992
65,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966663097027483,9.405178319531021e-05,0.0006480685526031723,6.346025283477469e-06,0.0005417848432735085,0.0001982329138659982,0.0018020216312233384,4.318454780695344e-05,0.0009107226128561007,0.8469123628743992
66,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966402851647007,9.175280531307462e-05,0.0006377112014521934,6.1716243786398e-06,0.0005412226327631466,0.00020239989668388036,0.0018352687333499373,4.518794135848367e-05,0.0009364154832396906,0.8469123628743992
67,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966148008094287,8.95925978150434e-05,0.0006273745744987104,6.008741289453513e-06,0.0005403641076424028,0.00020647241191317962,0.001868154218514606,4.7232538898086465e-05,0.0009619281896389135,0.8469123628743992
68,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965898290178276,8.755849068715973e-05,0.0006170835547645509,5.85630750084145e-06,0.0005392242911291209,0.00021044813017258464,0.001900682824484523,4.9317383433751705e-05,0.0009872546830906404,0.8469123628743992
69,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965653446130167,8.563903921711451e-05,0.0006068595828098649,5.713358355750728e-06,0.0005378178861943889,0.000214324981021857,0.0019328590433879134,5.144149599659501e-05,0.0010123896512407114,0.8469123628743992
70,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965413246235288,8.382390602712782e-05,0.0005967210352855744,5.579022851887192e-06,0.0005361592428715653,0.00021810114358605006,0.0019646871476645122,5.36038781845102e-05,0.0010373284492699157,0.8469123628743992
71,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965177480694234,8.210375435818197e-05,0.000586683564955291,5.452514484503407e-06,0.0005342623319687551,0.0002217750368547547,0.001996171213345166,5.5803514610141536e-05,0.0010620670373034625,0.8469123628743992
72,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964945957691224,8.047015154472155e-05,0.0005767604059698072,5.333123012373687e-06,0.0005321407244239848,0.00022534530975964283,0.0020273151409166967,5.803937525048064e-05,0.0010866019236905563,0.8469123628743992
73,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964718501649784,7.891548171650124e-05,0.0005669626478136294,5.220207043375033e-06,0.0005298075756160144,0.00022881083111992278,0.0020581226740157277,6.03104176963534e-05,0.001110930113599028,0.8469123628743992
74,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964494951657752,7.743286685360326e-05,0.0005572994810136286,5.113187351066698e-06,0.0005272756140124484,0.0002321706795331241,0.0020885974161601872,6.261558930089357e-05,0.0011350490624226965,0.8469123628743992
75,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964275160045315,7.601609540216147e-05,0.0005477784174016372,5.011540845539423e-06,0.0005245571336002635,0.00023542413327776274,0.0021187428457143387,6.495382922681648e-05,0.0011589566335468136,0.8469123628743992
76,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964058991101367,7.465955773256015e-05,0.0005384054874528769,4.914795131426776e-06,0.000521663989602,0.0002385706602847698,0.0021485623292668565,6.732407039292018e-05,0.0011826510600600562,0.8469123628743992
77,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9963846319914859,7.335818778937682e-05,0.0005291854169778417,4.822523593917334e-06,0.00051860759703386,0.00024160990822598555,0.0021780591335723853,6.97252413207648e-05,0.0012061309100405498,0.8469123628743992
78,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9963637031329098,7.210741034365419e-05,0.0005201217852242968,4.734340960284925e-06,0.0005153989317100409,0.00024454169476041275,0.0022072364362085706,7.215626788292335e-05,0.0012293950550786971,0.8469123628743992
79,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9963431018998108,7.090309331373695e-05,0.0005112171662462056,4.649899290152544e-06,0.0005120485333411488,0.00024736599797219554,0.002236097335071241,7.461607495456811e-05,0.0012524426417315352,0.8469123628743992
